canon powershot g3,,,i recently purchased the canon powershot g3 and am extremely satisfied with the purchase .,nsubj####purchased####i######nsubj####satisfied####i######advmod####purchased####recently######det####g3####the######amod####g3####canon######nn####g3####powershot######dobj####purchased####g3######auxpass####satisfied####am######advmod####satisfied####extremely######conj_and####purchased####satisfied######det####purchase####the######prep_with####satisfied####purchase
control,,,advanced photobugs will find more creative control than imaginable .,amod####photobugs####advanced######nsubj####find####photobugs######aux####find####will######amod####control####more######amod####control####creative######dobj####find####control######prep_than####find####imaginable
auto setting,,,newbies will find the full auto setting will give them perfect pictures right out of the box .,nsubj####find####newbies######aux####find####will######det####setting####the######amod####setting####full######nn####setting####auto######nsubj####give####setting######aux####give####will######ccomp####find####give######iobj####give####them######amod####pictures####perfect######dobj####give####pictures######dep####pictures####right######det####box####the######prep_out_of####pictures####box
photo quality,,,4 megapixels is enough for anybody and the photo_quality is awesome .,num####megapixels####4######nsubj####enough####megapixels######cop####enough####is######prep_for####enough####anybody######det####photo_quality####the######nsubj####awesome####photo_quality######cop####awesome####is######conj_and####enough####awesome
,,,do n't get fooled by the 5 megapixel_marketing hype .,aux####fooled####do######neg####fooled####n't######auxpass####fooled####get######det####hype####the######num####hype####5######nn####hype####megapixel_marketing######agent####fooled####hype
,,,"unless you want to print murals , you do n't need it .",mark####want####unless######nsubj####want####you######xsubj####print####you######advcl####need####want######aux####print####to######xcomp####want####print######dobj####print####murals######nsubj####need####you######aux####need####do######neg####need####n't######dobj####need####it
,use,,those used to 35mm cameras will find the g3 very comfortable and friendly to use .,nsubj####find####those######partmod####those####used######num####cameras####35mm######prep_to####used####cameras######aux####find####will######det####g3####the######nsubj####use####g3######advmod####comfortable####very######dep####use####comfortable######conj_and####comfortable####friendly######dep####use####friendly######aux####use####to######xcomp####find####use
,,,anyone looking for more than `` point and shoot `` can make a huge step up for a moderate price_difference .,nsubj####make####anyone######partmod####anyone####looking######prep_for####looking####more######prep_than####more####point######prep_than####more####shoot######conj_and####point####shoot######aux####make####can######det####step####a######amod####step####huge######dobj####make####step######prt####make####up######det####price_difference####a######amod####price_difference####moderate######prep_for####make####price_difference
"zoom,lense",,,the extended zoom_range and faster_lense put it at the top of it 's class .,det####zoom_range####the######amod####zoom_range####extended######nsubj####put####zoom_range######conj_and####zoom_range####faster_lense######nsubj####put####faster_lense######dobj####put####it######det####top####the######prep_at####put####top######poss####class####it######prep_of####top####class
,,,i expect the g3 will please me for years to come .,dep####expect####i######det####g3####the######nsubj####please####g3######xsubj####come####g3######aux####please####will######ccomp####expect####please######dobj####please####me######prep_for####please####years######aux####come####to######xcomp####please####come
camera,,,i recommend unreservedly the powershot_g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period !,dep####recommend####i######advmod####recommend####unreservedly######det####powershot_g3####the######dobj####recommend####powershot_g3######det####buyer####any######amod####buyer####potential######prep_to####powershot_g3####buyer######partmod####buyer####looking######det####camera####a######amod####camera####first-class######amod####camera####digital######prep_for####looking####camera######det####period####a######amod####period####reasonable######nn####period####price######expl####is####there######dep####period####is######det####camera####no######amod####camera####better######nsubj####is####camera######prep####camera####out######pobj####out####there######prep_at####camera####period
