"radio, radio",,,"radio is awsome , but it does n't work unless you have the earpice in .",nsubj####awsome####radio######cop####awsome####is######nsubj####work####it######aux####work####does######neg####work####n't######conj_but####awsome####work######mark####have####unless######nsubj####have####you######advcl####work####have######det####earpice####the######dobj####have####earpice######prep####have####in
,,,"that is a major minus , but its not that bad .",nsubj####minus####that######cop####minus####is######det####minus####a######amod####minus####major######dep####minus####but######poss####not####its######dep####but####not######complm####bad####that######dep####minus####bad
t-mobile,,,t-mobile was a pretty good server .,nsubj####server####t-mobile######cop####server####was######det####server####a######advmod####good####pretty######amod####server####good
,,,it has 2 games .,nsubj####has####it######num####games####2######dobj####has####games
,,game,they are not wowable good .,nsubj####good####they######cop####good####are######neg####good####not######advmod####good####wowable
,,,you have to buy better ones .,nsubj####have####you######xsubj####buy####you######aux####buy####to######xcomp####have####buy######amod####ones####better######dobj####buy####ones
voice dialing,,,it also does n't have voice activated dialing . big minus ! !
"phone,warranty",,,"this is a very nice phone , but there is no warranty on it .",nsubj####phone####this######cop####phone####is######det####phone####a######advmod####nice####very######amod####phone####nice######expl####is####there######conj_but####phone####is######det####warranty####no######nsubj####is####warranty######prep_on####warranty####it
,,,nokia will not cover phones bought from amazon .,nsubj####cover####nokia######aux####cover####will######neg####cover####not######dobj####cover####phones######partmod####phones####bought######prep_from####bought####amazon
phone,,,we got two phones for the t-mobile family_plan ( indeed very easy to switch to the family_plan ) and one came with a broken headphone ( can hear but can not be heard ) and one died today after less than two weeks of use .,nsubj####got####we######num####phones####two######dobj####got####phones######det####family_plan####the######amod####family_plan####t-mobile######prep_for####got####family_plan######dep####easy####indeed######advmod####easy####very######dep####got####easy######prep_to####easy####switch######det####family_plan####the######prep_to####switch####family_plan######nsubj####came####one######conj_and####got####came######det####headphone####a######amod####headphone####broken######prep_with####came####headphone######aux####hear####can######dep####got####hear######aux####heard####can######neg####heard####not######auxpass####heard####be######dep####got####heard######conj_but####hear####heard######nsubj####died####one######conj_and####got####died######tmod####died####today######dep####than####less######quantmod####two####than######num####weeks####two######prep_after####died####weeks######prep_of####weeks####use
,,,i 'll see how much help i can get from amazon and report back .,nsubj####see####i######aux####see####'ll######advmod####much####how######advmod####help####much######nsubj####help####much######ccomp####see####help######nsubj####get####i######aux####get####can######ccomp####help####get######prep_from####get####amazon######prep_from####get####report######conj_and####amazon####report######advmod####get####back
,,,i upgraded to a 6610 at my local t-mobile store .,nsubj####upgraded####i######quantmod####6610####a######prep_to####upgraded####6610######poss####store####my######amod####store####local######amod####store####t-mobile######prep_at####upgraded####store
message,,,"when i got it home , i discovered that the menu_options for sending messages via either text or email simply were n't there :",advmod####got####when######nsubj####got####i######dep####discovered####got######dobj####got####it######advmod####got####home######nsubj####discovered####i######complm####were####that######det####menu_options####the######nsubj####were####menu_options######prepc_for####menu_options####sending######dobj####sending####messages######preconj####text####either######prep_via####messages####text######prep_via####messages####email######conj_or####text####email######advmod####were####simply######ccomp####discovered####were######neg####were####n't######advmod####were####there
